year,month,day_of_month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance,dep_delay,IsDelayed
2024,4,21,7,YX,EWR,AVL,845,583.0,60.0,1
2024,7,21,7,OO,ABQ,SLC,1210,493.0,-3.0,0
2024,11,21,4,WN,PIT,HOU,1710,1131.0,14.0,0
2024,5,13,1,AA,PHX,DFW,1233,868.0,24.0,1
2024,6,18,2,G4,BMI,SFB,849,917.0,-15.0,0
2024,7,4,4,NK,BOS,DTW,2141,632.0,-12.0,0
2024,6,19,3,WN,BOS,BWI,1200,369.0,4.0,0
2024,2,27,2,UA,GSP,ORD,639,577.0,-12.0,0
2024,10,11,5,AA,ORD,TPA,1315,1012.0,-4.0,0
2024,11,27,3,9E,CAE,ATL,1740,192.0,7.0,0
2024,8,1,4,9E,CHS,JFK,700,636.0,-6.0,0
2024,10,23,3,AS,JNU,YAK,1004,198.0,1.0,0
2024,1,4,4,AA,CLT,SEA,1641,2279.0,15.0,0
2024,2,6,2,B6,MCO,JFK,2055,944.0,20.0,0
2024,6,11,2,HA,ITO,HNL,1838,216.0,-3.0,0
2024,12,27,5,AS,TUS,SEA,1518,1216.0,-10.0,1
2024,11,21,4,AA,PHL,LAX,705,2402.0,-4.0,0
2024,11,10,7,OO,IAH,MEI,1850,422.0,54.0,1
2024,12,14,6,NK,ORD,FLL,500,1182.0,0.0,0
2024,7,12,5,OH,DAY,DCA,1952,391.0,0.0,1
2024,2,26,1,AA,LAS,DFW,1647,1055.0,11.0,0
2024,9,30,1,WN,AUS,LAX,550,1242.0,-4.0,0
2024,11,29,5,UA,BOS,IAD,1400,413.0,3.0,1
2024,11,3,7,DL,GSO,ATL,1223,306.0,11.0,0
2024,2,21,3,UA,IAH,GSP,1821,837.0,-4.0,0
2024,4,1,1,UA,IAH,GSP,1805,837.0,-6.0,0
2024,7,17,3,MQ,PHX,SJC,2037,621.0,0.0,1
2024,6,15,6,AA,PHX,DFW,1344,868.0,213.0,1
2024,9,23,1,AA,MSY,CLT,1516,651.0,-6.0,0
2024,5,25,6,DL,SJC,SEA,620,696.0,204.0,1
2024,1,21,7,AA,BNA,DFW,1125,631.0,-2.0,0
2024,6,24,1,WN,FAT,LAS,1050,259.0,-2.0,0
2024,11,30,6,DL,SLC,JFK,2359,1990.0,-6.0,0
2024,8,3,6,WN,MKE,MCO,1615,1066.0,-7.0,0
2024,8,6,2,AA,PHL,PHX,1051,2075.0,9.0,0
2024,1,8,1,OO,MEM,LGA,1205,963.0,56.0,1
2024,4,25,4,YX,EWR,SDF,915,642.0,-10.0,0
2024,4,1,1,WN,CHS,MDW,2020,745.0,1.0,1
2024,7,10,3,F9,DCA,DEN,1259,1476.0,-12.0,0
2024,5,22,3,YX,CMH,BOS,1227,640.0,-6.0,0
2024,11,8,5,WN,LAS,SEA,935,867.0,2.0,0
2024,4,24,3,WN,LAS,MDW,1630,1521.0,2.0,0
2024,8,22,4,UA,PSP,DEN,1326,776.0,-5.0,0
2024,7,30,2,DL,CLT,ATL,700,226.0,-9.0,0
2024,2,12,1,UA,EWR,SAN,1729,2425.0,43.0,0
2024,3,18,1,B6,SAN,JFK,2115,2446.0,13.0,1
2024,12,28,6,B6,SJU,JFK,549,1598.0,-9.0,0
2024,3,13,3,AA,DFW,BNA,1312,631.0,4.0,0
2024,4,12,5,MQ,PHX,ELP,1544,347.0,18.0,0
2024,2,28,3,B6,JFK,LAX,1030,2475.0,-5.0,0
2024,4,23,2,DL,BOS,ATL,1010,946.0,-6.0,0
2024,7,11,4,DL,ATL,HSV,1855,151.0,-7.0,0
2024,4,12,5,WN,OAK,SAN,600,446.0,-4.0,0
2024,2,24,6,DL,ATL,PHX,1625,1587.0,18.0,0
2024,11,30,6,UA,LGA,DEN,726,1620.0,-7.0,0
2024,11,8,5,AA,CLT,AUS,2120,1032.0,-2.0,0
2024,9,11,3,OO,SLC,TWF,2115,175.0,-4.0,1
2024,7,10,3,DL,SJC,ATL,615,2116.0,46.0,1
2024,1,8,1,AA,SYR,CLT,1724,603.0,-5.0,0
2024,1,13,6,DL,MSP,MSO,1850,1013.0,5.0,0
2024,8,2,5,WN,BWI,MDW,625,611.0,2.0,0
2024,9,5,4,AS,KTN,SEA,1158,680.0,11.0,0
2024,7,1,1,F9,STL,PHL,2236,814.0,60.0,1
2024,4,21,7,DL,SEA,JFK,2305,2422.0,18.0,0
2024,11,20,3,WN,HRL,DAL,1200,458.0,0.0,0
2024,11,12,2,DL,GRR,ATL,1645,640.0,-12.0,0
2024,9,12,4,OH,TLH,CLT,1346,386.0,-11.0,0
2024,11,30,6,WN,LAX,LAS,2200,236.0,-3.0,0
2024,10,22,2,WN,SMF,DEN,555,909.0,-3.0,0
2024,7,8,1,AS,ANC,SEA,1105,1448.0,0.0,0
2024,3,16,6,UA,RSW,LAX,900,2238.0,-7.0,0
2024,2,17,6,AA,PHL,BOS,946,280.0,-5.0,0
2024,6,17,1,NK,DTW,MCO,624,957.0,-3.0,0
2024,8,24,6,WN,BUR,SLC,910,574.0,-5.0,0
2024,6,2,7,OO,LAN,DTW,535,74.0,-7.0,0
2024,8,23,5,OH,CRW,CLT,1057,221.0,-8.0,0
2024,4,27,6,NK,DFW,MCO,1019,985.0,5.0,1
2024,12,22,7,UA,IAH,SFO,720,1635.0,-5.0,0
2024,3,9,6,AA,ORD,SAT,2030,1041.0,43.0,1
2024,1,30,2,AA,LAX,DFW,1344,1235.0,-11.0,0
2024,7,31,3,UA,DEN,PHX,1129,602.0,11.0,0
2024,7,6,6,HA,OGG,KOA,1330,84.0,4.0,0
2024,5,24,5,AS,TPA,SEA,747,2520.0,-7.0,0
2024,8,30,5,AA,AUS,SNA,1000,1209.0,-7.0,0
2024,4,18,4,WN,SAT,LAS,710,1069.0,2.0,0
2024,6,24,1,9E,ROC,JFK,1825,264.0,-5.0,0
2024,5,28,2,WN,LAX,SMF,2000,373.0,46.0,1
2024,4,4,4,DL,SLC,SNA,1105,588.0,-2.0,1
2024,12,31,2,UA,BQN,EWR,109,1585.0,-9.0,0
2024,6,19,3,B6,EWR,MCO,1040,937.0,65.0,1
2024,7,3,3,YX,DCA,CMH,1659,323.0,-10.0,1
2024,12,23,1,OO,SLC,TUS,925,601.0,-2.0,0
2024,5,11,6,G4,CVG,PGD,1502,850.0,11.0,0
2024,5,22,3,OO,SLC,PHX,815,507.0,-6.0,0
2024,5,24,5,G4,SAV,PIT,1558,579.0,114.0,1
2024,3,31,7,MQ,ORD,RDU,1010,646.0,-2.0,0
2024,5,30,4,OO,MSP,RAP,1445,489.0,9.0,0
2024,6,17,1,NK,LAX,ORD,2337,1744.0,-3.0,0
2024,6,28,5,AA,SJU,CLT,800,1475.0,-3.0,0
2024,12,14,6,WN,ELP,LAS,835,583.0,-10.0,0
2024,9,24,2,B6,SYR,MCO,1430,1053.0,4.0,0
2024,3,19,2,DL,PSP,MSP,1535,1454.0,79.0,1
2024,8,17,6,F9,SEA,LAS,1029,867.0,-3.0,0
2024,6,14,5,DL,SLC,ATL,1105,1590.0,-2.0,0
2024,3,4,1,AA,BOS,PHL,1605,280.0,-7.0,0
2024,5,24,5,OH,DCA,BHM,1535,653.0,-7.0,0
2024,11,29,5,B6,MCO,BDL,1730,1050.0,-10.0,0
2024,7,7,7,WN,SAN,OAK,2040,446.0,100.0,1
2024,9,16,1,9E,JFK,RDU,750,427.0,44.0,1
2024,12,20,5,AA,DFW,MCO,713,985.0,-6.0,0
2024,11,22,5,YX,SYR,EWR,1230,195.0,-17.0,0
2024,1,29,1,WN,PHL,DEN,1645,1558.0,1.0,0
2024,3,31,7,AS,LAX,SEA,1515,954.0,-12.0,0
2024,4,9,2,WN,MCO,LAS,1005,2039.0,7.0,0
2024,9,7,6,OO,BUF,ORD,1053,474.0,33.0,1
2024,5,16,4,AA,SEA,DFW,717,1660.0,202.0,1
2024,6,10,1,OO,DFW,SWO,2120,225.0,-4.0,0
2024,5,8,3,AS,DFW,SEA,600,1660.0,-4.0,0
2024,2,12,1,WN,TUS,LAS,835,365.0,-6.0,0
2024,10,27,7,OO,ELM,DTW,600,332.0,-5.0,0
2024,12,26,4,UA,DEN,CLE,1050,1201.0,-2.0,0
2024,1,17,3,DL,SEA,SLC,545,689.0,-1.0,0
2024,6,17,1,AS,SFO,LAX,835,337.0,-4.0,0
2024,8,22,4,WN,LAS,MSY,820,1500.0,30.0,1
2024,7,11,4,DL,DTW,PIT,840,201.0,28.0,0
2024,8,7,3,NK,MCI,DFW,1950,460.0,26.0,1
